epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,828.472,0.90223,2.24656,1.00793,0.8215,0.09223,0.09173,0.07657,0.64219,1.21254,0.85715,8.33099e-05,8.33099e-05,8.33099e-05
2,1641.28,0.76095,1.41817,0.93897,0.61153,0.15134,0.12788,0.10964,0.59041,1.00801,0.83928,0.000133648,0.000133648,0.000133648
3,2439.78,0.72342,1.2347,0.92603,0.59675,0.16803,0.15254,0.1337,0.56771,0.91949,0.83323,0.000150986,0.000150986,0.000150986
4,3232.95,0.69192,1.13646,0.91503,0.59362,0.17744,0.16497,0.14506,0.54714,0.85428,0.82587,0.0001015,0.0001015,0.0001015
5,4032.1,0.66795,1.0668,0.90661,0.66445,0.18933,0.17419,0.15386,0.53408,0.80408,0.82037,5.2e-05,5.2e-05,5.2e-05
